"Rank","Player","Team","Bye","POS","AVG"
"272","Raheim Sanders","LAC","12","RB82","242.0"
"273","Diontae Johnson","CLE","9","WR114","267.0"
"274","Isaiah Davis","NYJ","9","RB83","265.0"
"275","Dont'e Thornton Jr.","LV","8","WR115","265.0"
"276","Jacory Croskey-Merritt","WAS","12","RB84","265.5"
"277","Antonio Gibson","NE","14","RB85","249.0"
"278","Malik Washington","MIA","12","WR116","266.5"
"279","Kyle Monangai","CHI","5","RB86","303.5"
"280","Jalen Nailor","MIN","6","WR117","267.5"
"281","Ty Johnson","BUF","7","RB87","268.0"
"282","LeQuint Allen Jr.","JAC","8","RB88","254.0"
"283","KaVontae Turpin","DAL","10","WR118","256.0"
"284","Christian Watson","GB","5","WR119","257.0"
"285","Tai Felton","MIN","6","WR120","270.0"
"286","Jameis Winston","NYG","14","QB38","267.0"
"287","Tim Patrick","DET","8","WR121","268.0"
"288","Olamide Zaccheaus","CHI","5","WR122","272.0"
"289","Jermaine Burton","CIN","10","WR123","310.0"
"290","Will Dissly","LAC","12","TE41","297.0"
"291","Emanuel Wilson","GB","5","RB89","293.0"
"292","Tank Dell","HOU","6","WR124","275.0"
"293","Devin Singletary","NYG","14","RB90","276.0"
"294","Khalil Herbert","IND","11","RB91","277.0"
"295","Jaylin Lane","WAS","12","WR125","296.5"
"296","Chimere Dike","TEN","10","WR126","335.0"
"297","Mack Hollins","NE","14","WR127","280.0"
"298","Michael Mayer","LV","8","TE42","285.0"
"299","A.J. Dillon","PHI","9","RB92","286.0"
"300","Treylon Burks","TEN","10","WR128","290.0"
"301","Malachi Corley","NYJ","9","WR129","291.0"
"302","Ezekiel Elliott","","","RB93","293.0"
"303","Tez Johnson","TB","9","WR130","294.0"
"304","AJ Barner","SEA","8","TE43","295.0"
"305","Kenneth Gainwell","PIT","5","RB94","296.0"
"306","Luke McCaffrey","WAS","12","WR131","298.0"
"307","Ricky White III","SEA","8","WR132","299.0"
"308","Dorian Thompson-Robinson","PHI","9","QB39","300.0"
"309","Joe Milton III","DAL","10","QB40","301.0"
"310","Luke Musgrave","GB","5","TE44","302.0"
"311","Kimani Vidal","LAC","12","RB95","303.0"
"312","Jimmy Horn Jr.","CAR","14","WR133","304.0"
"313","Mac Jones","SF","14","QB41","305.0"
"314","Jahan Dotson","PHI","9","WR134","306.0"
"315","Dameon Pierce","HOU","6","RB96","307.0"
"316","Jonathon Brooks","CAR","14","RB97","308.0"
"317","John Metchie III","HOU","6","WR135","310.0"
"318","Donovan Edwards","NYJ","9","RB98","311.0"
"319","Marcus Yarns","NO","11","RB99","313.0"
"320","Ja'Lynn Polk","NE","14","WR136","314.0"
"321","Cedrick Wilson Jr.","NO","11","WR137","315.0"
"322","Alexander Mattison","MIA","12","RB100","317.0"
"323","Luke Schoonmaker","DAL","10","TE45","318.0"
"324","Rondale Moore","MIN","6","WR138","319.0"
"325","Damiere Byrd","","","WR139","320.0"
"326","Dawson Knox","BUF","7","TE46","322.0"
"327","Gunnar Helm","TEN","10","TE47","323.0"
"328","Kenny Pickett","CLE","9","QB42","325.0"
"329","Clyde Edwards-Helaire","NO","11","RB101","326.0"
"330","Greg Dortch","ARI","8","WR140","327.0"
"331","Spencer Rattler","NO","11","QB43","328.0"
"332","Michael Carter","ARI","8","RB102","329.0"
"333","Lan Larison","NE","14","RB103","330.0"
"334","Keelan Doss","","","WR141","331.0"
"335","Gus Edwards","","","RB104","332.0"
"336","Darnell Washington","PIT","5","TE48","333.0"
"337","Brock Wright","DET","8","TE49","334.0"
"338","Ashton Dulin","IND","11","WR142","335.0"
"339","Tyler Van Dyke","","","QB44","336.0"
"340","Elijhah Badger","KC","10","WR143","337.0"
"341","Austin Hooper","NE","14","TE50","338.0"
"342","JuJu Smith-Schuster","KC","10","WR144","339.0"
"343","Cade Stover","HOU","6","TE51","340.0"
"344","Tommy Tremble","CAR","14","TE52","341.0"
"345","Josh Whyle","TEN","10","TE53","342.0"
"346","Kyle Juszczyk","SF","14","RB105","343.0"
"347","Oronde Gadsden II","LAC","12","TE54","344.0"
"348","Deuce Vaughn","DAL","10","RB106","345.0"
"349","Josh Reynolds","NYJ","9","WR145","346.0"
"350","Cam Miller","LV","8","CB1","347.0"
"351","Samaje Perine","CIN","10","RB107","349.0"
"352","Deshaun Watson","CLE","9","QB45","350.0"
"353","Jalin Hyatt","NYG","14","WR146","351.0"
"354","Devin Culp","TB","9","TE55","352.0"
"355","Harrison Bryant","PHI","9","TE56","353.0"
"356","Carson Steele","KC","10","RB108","354.0"
"357","Will Howard","PIT","5","QB46","355.0"
"358","E.J. Perry","","","QB47","356.0"
"359","Elijah Higgins","ARI","8","TE57","358.0"
"360","Bo Melton","GB","5","WR147","359.0"
"361","Devontez Walker","BAL","7","WR148","360.0"
"362","Payne Durham","TB","9","TE58","361.0"
"363","Darrell Daniels","","","TE59","362.0"
"364","Emory Jones","ATL","5","QB48","363.0"
"365","Payton Thorne","CIN","10","QB49","364.0"
"366","Nick Bowers","","","TE60","365.0"
